"Name","Position","Team","GP","GS","MIN","PTS","OR","DR","REB","AST","STL","BLK","TO","PF","AST/TO","PER","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","SC-EFF","SH-EFF"
"Hassani Gravett","PG","orl",8,3,21.4,6.3,0.1,2.5,2.6,2.5,0.6,0.1,1.1,1.6,2.2,10.1,2.3,4.8,47.4,1.4,3.3,42.3,0.4,0.5,75,0.9,1.5,58.3,1.316,0.62
"Ignas Brazdeikis","SF","orl",42,1,12.8,5,0.5,1.2,1.7,0.9,0.2,0.1,0.4,1.1,2.2,10.3,1.9,4.5,43.1,0.6,2.1,31,0.5,0.8,65.6,1.3,2.4,53.5,1.117,0.5
"Admiral Schofield","SF","orl",38,1,12.3,3.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,1.2,7.56,1.4,3.4,41.9,0.7,2.1,32.9,0.3,0.4,80,0.7,1.3,56,1.132,0.52
"Tim Frazier","PG","orl",10,3,20,3.7,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,2.5,3.86,1.3,4.3,30.2,0.6,1.7,35.3,0.5,0.9,55.6,0.7,2.6,26.9,0.86,0.37
"Mychal Mulder","G","orl",15,2,13,3.7,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,0.4,2.15,1.3,4.5,29.9,0.9,3.1,28.3,0.1,0.1,100,0.5,1.4,33.3,0.821,0.4
"Jeff Dowtin","G","orl",4,0,19.3,3.3,1.8,1,2.8,1.8,1.3,0,1,0.8,1.8,6.53,1.3,4.8,26.3,0.3,1.8,14.3,0.5,0.5,100,1,3,33.3,0.684,0.29
"Aleem Ford","F","orl",5,0,14.8,2.8,0.4,2.6,3,0.4,0.2,0,0.8,1.4,0.5,0.5,1.2,4,30,0.4,3,13.3,0,0,0,0.8,1,80,0.7,0.35
"Freddie Gillespie","SF","orl",9,2,13.2,2.3,1.4,2.6,4,0.6,0.3,1,0.6,2,1,9.47,1,2.4,40.9,0,0.1,0,0.3,0.8,42.9,1,2.3,42.9,0.955,0.41
"Joel Embiid","C","phi",68,68,33.8,30.6,2.1,9.6,11.7,4.2,1.1,1.5,3.1,2.7,1.3,31.24,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,8.4,15.9,52.9,1.558,0.53
"James Harden","SG","phi",21,21,37.7,21,0.6,6.5,7.1,10.5,1.2,0.2,3.4,2.3,3.1,21.84,5.5,13.6,40.2,2.2,6.7,32.6,7.9,8.9,89.2,3.3,6.9,47.6,1.545,0.48
"Tyrese Maxey","PG","phi",75,74,35.3,17.5,0.3,2.9,3.2,4.3,0.7,0.4,1.2,2.1,3.6,16.27,6.4,13.3,48.5,1.8,4.1,42.7,2.8,3.3,86.6,4.7,9.1,51.2,1.318,0.55
"Tobias Harris","PF","phi",73,73,34.8,17.2,1.1,5.7,6.8,3.5,0.6,0.6,1.6,2.2,2.2,16,6.8,14,48.2,1.4,3.8,36.7,2.3,2.8,84.2,5.4,10.2,52.5,1.23,0.53
"Seth Curry","SG","phi",45,45,34.8,15,0.4,3,3.4,4,0.8,0.2,1.9,2.2,2.2,13.37,5.7,11.7,48.5,2.2,5.6,40,1.4,1.6,87.7,3.5,6.2,56.1,1.28,0.58
"Georges Niang","SF","phi",76,7,22.8,9.2,0.3,2.3,2.7,1.3,0.4,0.2,0.8,2.5,1.7,10.7,3.2,7.4,43.7,2.1,5.1,40.3,0.7,0.8,88.1,1.2,2.3,51.1,1.243,0.58
"Shake Milton","SG","phi",55,6,21.4,8.2,0.5,2,2.6,2.5,0.5,0.3,0.8,1.8,3.2,11.93,3.1,7.3,42.9,0.8,2.4,32.3,1.1,1.3,83.6,2.4,4.9,48.1,1.117,0.48
"Furkan Korkmaz","SG","phi",67,19,21.1,7.6,0.3,2.3,2.6,1.9,0.5,0.1,0.7,0.9,2.6,10.22,2.7,7,38.7,1.1,4,28.9,1,1.3,81,1.6,3,51.5,1.083,0.47
"Andre Drummond","C","phi",49,12,18.4,6.1,2.8,6.1,8.8,2,1.1,0.9,1.6,2.5,1.2,19.38,2.6,4.9,53.8,0,0,0,0.9,1.7,51.2,2.6,4.8,54.2,1.252,0.54
"Danny Green","SF","phi",62,28,21.8,5.9,0.5,2,2.5,1,1,0.6,0.7,1.7,1.4,9.53,2,5.2,39.4,1.7,4.4,38,0.2,0.2,78.6,0.4,0.8,46.9,1.144,0.55
"Matisse Thybulle","SG","phi",66,50,25.5,5.7,0.6,1.7,2.3,1.1,1.7,1.1,0.6,2.4,1.9,11.22,2.3,4.5,50,0.7,2.2,31.3,0.5,0.7,79.1,1.6,2.4,67.3,1.263,0.58
"DeAndre Jordan","C","phi",16,1,13.4,4.6,2,3.8,5.8,0.5,0.1,0.6,1,1.3,0.5,16.56,2,3.4,59.3,0,0,0,0.6,0.9,71.4,2,3.4,59.3,1.37,0.59
"Paul Millsap","PF","phi",9,1,11.8,3.7,1.3,1.4,2.8,0.6,0.6,0.2,0.9,2.1,0.6,9.75,1.4,3.3,43.3,0.2,0.9,25,0.6,0.8,71.4,1.2,2.4,50,1.1,0.47
"Tyler Johnson","G","phi",3,0,12.7,3.7,0.3,1.7,2,0.7,0.3,0.3,0.3,1.3,2,9.43,1.3,3.3,40,1,2.3,42.9,0,0,0,0.3,1,33.3,1.1,0.55
"Isaiah Joe","SG","phi",55,1,11.1,3.6,0.1,0.9,1,0.6,0.3,0.1,0.3,0.9,1.8,7.71,1.1,3.2,35,0.8,2.5,33.3,0.5,0.6,93.5,0.3,0.8,40.5,1.119,0.48
"Paul Reed","SF","phi",38,2,8,3.1,1.2,1.3,2.4,0.4,0.9,0.4,0.3,1.5,1.6,21.36,1.4,2.5,56.3,0.1,0.2,25,0.2,0.4,42.9,1.4,2.3,59.1,1.208,0.57
"Charles Bassey","C","phi",23,0,7.3,3,1,1.7,2.7,0.3,0.2,0.7,0.3,1.4,0.9,21.5,1.3,2,63.8,0,0.2,0,0.4,0.5,75,1.3,1.9,69.8,1.468,0.64
"Charlie Brown Jr.","G","phi",19,2,8.5,1.5,0.7,0.9,1.6,0.3,0.4,0.2,0.3,0.8,1,6.61,0.5,1.8,26.5,0.1,0.5,11.1,0.5,0.5,90,0.4,1.3,32,0.824,0.28
"Myles Powell","G","phi",11,0,4.7,1.2,0.1,0.5,0.5,0.3,0.1,0,0.3,0.7,1,0.24,0.5,1.5,29.4,0.1,0.5,16.7,0.2,0.2,100,0.4,1,36.4,0.765,0.32
"Braxton Key","G","phi",2,0,3,1,0.5,0.5,1,0.5,0.5,0,1,0.5,0.5,9.11,0.5,1,50,0,0.5,0,0,0,0,0.5,0.5,100,1,0.5
"Jaden Springer","G","phi",2,0,3,1,0.5,0.5,1,0,0,1,0.5,0,0,26.42,0.5,0.5,100,0,0,0,0,0,0,0.5,0.5,100,2,1
"Aaron Henry","SF","phi",6,0,2.8,0.3,0,0.2,0.2,0,0,0.3,0.3,0.3,0,-7.34,0.2,0.8,20,0,0.2,0,0,0,0,0.2,0.7,25,0.4,0.2
"Willie Cauley-Stein","C","phi",2,0,3,0,0,1,1,0.5,0,0,0,1,Inf,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devin Booker","SG","phx",68,68,34.5,26.8,0.7,4.4,5,4.8,1.1,0.4,2.4,2.6,2,21.38,9.7,20.9,46.6,2.7,7,38.3,4.6,5.3,86.8,7,13.9,50.8,1.282,0.53
"Deandre Ayton","C","phx",58,58,29.5,17.2,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,0.9,21.99,7.6,12,63.4,0.1,0.3,36.8,1.8,2.4,74.6,7.5,11.7,64.2,1.43,0.64
"Chris Paul","PG","phx",65,65,32.9,14.7,0.3,4,4.4,10.8,1.9,0.3,2.4,2.1,4.6,20.86,5.6,11.3,49.3,1,3.1,31.7,2.6,3.1,83.7,4.6,8.3,55.9,1.302,0.54
"Mikal Bridges","SF","phx",82,82,34.8,14.2,0.9,3.3,4.2,2.3,1.2,0.4,0.8,1.8,2.7,14.49,5.6,10.5,53.4,1.4,3.8,36.9,1.6,1.9,83.4,4.2,6.7,62.8,1.354,0.6
"Cameron Johnson","SF","phx",66,16,26.2,12.5,0.6,3.5,4.1,1.5,0.9,0.2,0.7,1.7,2.1,15.26,4.2,9.2,46,2.5,5.9,42.5,1.5,1.7,86,1.7,3.3,52.3,1.354,0.6
"Cameron Payne","PG","phx",58,12,22,10.8,0.4,2.6,3,4.9,0.7,0.3,1.8,2.1,2.7,13.87,4.1,10.1,40.9,1.2,3.6,33.6,1.3,1.5,84.3,2.9,6.5,44.9,1.066,0.47
"Frank Kaminsky","PG","phx",9,0,20.1,10.6,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,2.6,21.32,4,7.3,54.5,0.6,1.7,33.3,2,2.2,90,3.4,5.7,60.8,1.439,0.58
"Jae Crowder","PF","phx",67,67,28.1,9.4,0.4,4.8,5.3,1.9,1.4,0.4,0.8,2.6,2.3,11.33,3.2,8.1,39.9,1.9,5.4,34.8,1.1,1.3,78.9,1.3,2.7,50.3,1.162,0.52
"JaVale McGee","C","phx",74,17,15.8,9.2,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.4,0.4,22.65,3.9,6.2,62.9,0,0.1,22.2,1.4,2,69.9,3.9,6.1,63.7,1.485,0.63
"Landry Shamet","SG","phx",69,14,20.8,8.3,0.2,1.6,1.8,1.6,0.4,0.1,0.6,1.3,2.6,10.23,2.8,7,39.4,1.8,4.8,36.8,1,1.2,84,1,2.2,45,1.181,0.52
"Torrey Craig","SF","phx",27,2,20.8,6.9,1,3.3,4.3,1.2,0.8,0.6,1,2.1,1.2,11.43,2.7,5.9,45,1.1,3.6,32.3,0.4,0.6,70.6,1.5,2.4,64.1,1.169,0.55
"Aaron Holiday","G","phx",22,1,16.3,6.8,0.7,1.8,2.5,3.4,0.8,0,1.3,1.5,2.7,14.92,2.3,5.6,41.1,0.7,1.6,44.4,1.4,1.5,93.9,1.6,4,39.8,1.202,0.48
"Jalen Smith","F","phx",29,4,13.2,6,1.9,2.9,4.8,0.2,0.2,0.6,0.8,1.8,0.3,15.96,2.2,4.7,46,0.3,1.3,23.1,1.4,1.8,76.9,1.9,3.4,55.1,1.277,0.49
"Bismack Biyombo","C","phx",36,3,14.1,5.8,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,0.9,17.3,2.4,4,59.3,0,0,0,1.1,2,53.5,2.4,4,59.3,1.448,0.59
"Gabriel Lundberg","F","phx",4,0,11,3.3,0.5,1.3,1.8,2.8,0.8,0,0.8,1.8,3.7,7.73,1.3,4.8,26.3,0.8,2,37.5,0,0,0,0.5,2.8,18.2,0.684,0.34
"Elfrid Payton","PG","phx",50,1,11,3,0.4,1.3,1.8,2,0.5,0.1,0.9,0.8,2.1,7.89,1.3,3.5,38.3,0.1,0.4,22.2,0.2,0.6,37.5,1.3,3.1,40.1,0.857,0.39
"Paris Bass","F","phx",2,0,3.5,3,1,1,2,0,0.5,0,1,1,0,14.03,1,3,33.3,0,1,0,1,1,100,1,2,50,1,0.33
"Abdel Nader","SF","phx",14,0,10.4,2.4,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,0.6,4.88,0.9,2.5,34.3,0.3,1,28.6,0.4,0.7,60,0.6,1.5,38.1,0.971,0.4
"Ish Wainright","F","phx",45,0,8,2.4,0.6,0.6,1.2,0.3,0.4,0.1,0.3,1.1,1.2,9.4,0.9,2.3,39.4,0.4,1.3,32.2,0.2,0.3,58.3,0.5,1,48.9,1.038,0.49
"Justin Jackson","F","phx",6,0,5.8,2.2,0.2,1,1.2,0.3,0,0,0.2,0.5,2,6.86,0.8,2.3,35.7,0.5,1.5,33.3,0,0,0,0.3,0.8,40,0.929,0.46
"Chandler Hutchison","SF","phx",6,0,3.7,0.7,0,0.8,0.8,0.3,0,0,0.7,0.2,0.5,1.01,0.2,0.3,50,0,0,0,0.3,0.3,100,0.2,0.3,50,2,0.5
"MJ Walker","G","phx",2,0,4,0,0,0.5,0.5,0.5,1,0,0,0.5,Inf,-3.33,0,2,0,0,1,0,0,0,0,0,1,0,0,0
"Emanuel Terry","F","phx",3,0,6,0,2.7,2.3,5,0.7,0.3,0,1.7,1.3,0.4,-0.13,0,1.7,0,0,0,0,0,0,0,0,1.7,0,0,0
"Damian Lillard","PG","por",29,29,36.4,24,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,2.6,18.53,7.7,19,40.2,3.2,9.8,32.4,5.5,6.2,87.8,4.5,9.2,48.5,1.259,0.49
"CJ McCollum","SG","por",36,36,35.2,20.5,0.9,3.3,4.3,4.5,1,0.6,1.9,2.1,2.3,15.91,8.1,18.5,43.6,3.1,8,38.4,1.3,1.9,70.6,5,10.4,47.6,1.111,0.52
"Josh Hart","SG","por",13,13,32.1,19.9,0.7,4.7,5.4,4.3,1.2,0.2,2.5,2.5,1.7,19.42,7.1,14.1,50.3,2.4,6.4,37.3,3.4,4.4,77.2,4.7,7.7,61,1.415,0.59
"Norman Powell","SF","por",40,39,33.3,18.7,0.4,2.9,3.3,2.1,1,0.4,1.6,2.3,1.3,15.32,6.2,13.6,45.6,2.3,5.7,40.6,4,5,80.3,3.9,7.8,49.2,1.376,0.54
"Anfernee Simons","SG","por",57,30,29.5,17.3,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,1.9,15.34,6.2,14,44.3,3.1,7.8,40.5,1.8,2,88.8,3.1,6.2,49,1.24,0.56
"Jusuf Nurkic","C","por",56,56,28.2,15,3,8.1,11.1,2.8,1.1,0.6,2.6,3.4,1.1,20.1,5.7,10.7,53.5,0.3,1,26.8,3.3,4.8,69,5.5,9.7,56.3,1.403,0.55
"Drew Eubanks","PF","por",22,22,29.5,14.5,3,5.5,8.5,1.6,0.8,0.5,1.6,2.8,1,19.92,6.2,9.6,64.6,0.2,0.7,26.7,1.8,2.3,78.4,6,9,67.5,1.5,0.66
"Brandon Williams","PG","por",24,16,26.7,12.9,0.8,2.3,3.1,3.9,1,0.4,2.4,2.2,1.6,11.04,4.4,11.8,37.2,1.3,4.4,29.2,2.8,4,70.1,3.1,7.3,42,1.096,0.43
"Justise Winslow","PF","por",11,10,26.8,10.7,1.8,4.5,6.3,2.9,1.3,0.6,1.1,1.9,2.7,14.13,4.3,10.5,40.5,0.9,3.4,27,1.3,2.3,56,3.4,7.2,46.8,1.017,0.45
"Ben McLemore","SG","por",64,6,20.1,10.2,0.2,1.4,1.6,0.9,0.6,0.2,0.9,1.6,1.1,11.72,3.4,8.4,40.1,2.4,6.5,36.2,1.1,1.4,81.8,1,1.9,53.3,1.215,0.54
"Reggie Perry","F","por",9,1,19.7,10,1.7,3.4,5.1,1.3,1,0.7,1.2,3.3,1.1,16.27,4.3,8.7,50,0.3,1.8,18.8,1,1.7,60,4,6.9,58.1,1.154,0.52
"Nassir Little","SF","por",42,23,25.9,9.8,1.4,4.2,5.6,1.3,0.6,0.9,1,2,1.4,13.55,3.5,7.5,46,1.2,3.7,33.1,1.6,2.2,73.4,2.2,3.8,58.4,1.302,0.54
"Keon Johnson","SG","por",22,12,25.5,9.7,0.8,1.9,2.7,2.9,1,0.5,1.8,2.2,1.6,8.58,3.6,10,35.7,1.4,4,34.8,1.1,1.4,83.3,2.2,6,36.4,0.968,0.43
"Robert Covington","PF","por",48,40,29.8,7.6,0.9,4.9,5.7,1.4,1.5,1.3,1.2,2.8,1.2,9.98,2.7,7,38.1,1.6,4.8,34.3,0.6,0.8,83.3,1,2.2,46.2,1.086,0.5
"Trendon Watford","PF","por",48,10,18.1,7.6,1.2,3,4.1,1.7,0.5,0.6,0.9,2.4,1.8,15.86,3,5.6,53.2,0.2,0.8,23.7,1.5,2,75.5,2.8,4.8,58.1,1.363,0.55
"Kris Dunn","PG","por",14,3,24,7.6,0.6,2.9,3.5,5.6,1.6,0.2,2.3,2.7,2.5,12.55,3.1,7.3,43.1,0.1,0.8,9.1,1.2,1.3,94.4,3.1,6.5,47.3,1.039,0.44
"Larry Nance Jr.","PF","por",37,11,23.2,6.9,1.6,4.1,5.6,2,1,0.4,0.7,1.8,2.7,14.4,2.8,5.4,51.5,0.5,1.7,30.6,0.9,1.3,65.3,2.2,3.7,61,1.288,0.56
"CJ Elleby","SG","por",58,28,20.2,5.8,1.1,2.8,3.9,1.5,0.6,0.3,1,2,1.6,9.26,2.1,5.3,39.3,0.6,2.2,29.4,1,1.4,71.4,1.4,3.1,46.2,1.101,0.45
"Dennis Smith Jr.","PG","por",37,4,17.3,5.6,0.5,1.8,2.4,3.6,1.2,0.3,1.4,1.4,2.6,13.22,2.1,5.1,41.8,0.2,0.7,22.2,1.1,1.7,65.6,2,4.4,45.1,1.09,0.43
"Cody Zeller","C","por",27,0,13.1,5.2,1.9,2.8,4.6,0.8,0.3,0.2,0.7,2.1,1.2,17.27,1.9,3.3,56.7,0,0.1,0,1.4,1.8,77.6,1.9,3.2,59.3,1.556,0.57
"Didi Louzada","SF","por",7,1,17.4,5,0.4,1.7,2.1,0.6,0.3,0.3,0.7,1.9,0.8,6.83,1.7,4.3,40,1.3,2.9,45,0.3,0.3,100,0.4,1.4,30,1.167,0.55
"Greg Brown III","PF","por",48,6,13.3,4.7,0.8,2,2.8,0.7,0.5,0.5,0.8,1.9,1,11.05,1.7,4,42.6,0.4,1.3,31.1,0.9,1.4,67.7,1.3,2.7,48.1,1.184,0.48
"Cameron McGriff","F","por",3,0,15.3,4.7,2,3,5,1,0,0.3,0,2.3,Inf,12.54,1.7,4.7,35.7,0.7,2,33.3,0.7,0.7,100,1,2.7,37.5,1,0.43
"Elijah Hughes","F","por",22,3,14.6,3.8,0.2,1.7,1.9,0.7,0.5,0.3,0.5,1.5,1.6,3.71,1.5,4.9,29.6,0.7,3,22.4,0.2,0.3,66.7,0.8,1.9,41.5,0.769,0.37
"Keljin Blevins","SF","por",31,1,11.3,3.1,0.5,0.9,1.5,0.6,0.4,0,0.5,0.9,1.1,4.84,1.1,3.6,30.6,0.7,2.3,29.2,0.2,0.4,54.5,0.4,1.3,33.3,0.856,0.4
"Tony Snell","SF","por",38,10,14.4,2.6,0.3,1.6,1.9,0.5,0.2,0.2,0.3,1.2,1.8,5.23,0.9,2.6,37.1,0.6,2,32,0.1,0.1,100,0.3,0.6,54.5,1.021,0.49
"Jarron Cumberland","SG","por",3,0,4,0.7,0.3,0.7,1,0.3,0,0,0,0.7,Inf,8.44,0.3,0.7,50,0,0.3,0,0,0,0,0.3,0.3,100,1,0.5
"De'Aaron Fox","PG","sac",59,59,35.3,23.2,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,2,17.49,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75,7.5,14.3,52.4,1.252,0.51
"Domantas Sabonis","PF","sac",15,15,33.6,18.9,3.1,9.3,12.3,5.8,0.9,0.3,3.5,3.8,1.7,21.01,7.5,13.5,55.4,0.3,1.1,23.5,3.7,4.9,74.3,7.2,12.3,58.4,1.401,0.56
"Harrison Barnes","SF","sac",77,77,33.6,16.4,1.1,4.5,5.6,2.4,0.7,0.2,1.5,1.2,1.6,15.75,5.1,10.8,46.9,1.8,4.7,39.4,4.4,5.4,82.6,3.2,6.2,52.5,1.517,0.55
"Buddy Hield","SG","sac",55,6,28.6,14.4,0.8,3.2,4,1.9,0.9,0.3,1.6,2.1,1.2,11.96,4.8,12.6,38.2,3.3,9,36.8,1.5,1.7,87,1.5,3.6,41.9,1.143,0.51
"Tyrese Haliburton","PG","sac",51,51,34.5,14.3,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,3.3,17.05,5.3,11.5,45.7,2,4.9,41.3,1.7,2,83.7,3.2,6.5,49.1,1.241,0.55
"Davion Mitchell","PG","sac",75,19,27.7,11.5,0.4,1.8,2.2,4.2,0.7,0.3,1.5,1.9,2.7,10.84,4.7,11.2,41.8,1.3,4.3,31.6,0.7,1.1,65.9,3.3,7,48,1.021,0.48
"Trey Lyles","PF","sac",24,20,22.8,10.6,1.2,4.4,5.6,1.3,0.3,0.3,0.8,1.3,1.6,16.02,3.6,7.4,48.9,1,2.6,36.5,2.4,2.8,85.1,2.7,4.8,55.7,1.427,0.55
"Richaun Holmes","C","sac",45,37,23.9,10.4,2.1,5,7,1.1,0.4,0.9,1.2,2.8,0.9,17.8,4.4,6.7,66,0,0.1,40,1.6,2,77.8,4.4,6.6,66.4,1.56,0.66
"Terence Davis","SG","sac",30,11,17.9,10.4,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,1.2,14.62,3.8,8.9,42.3,1.6,5,32.9,1.2,1.5,81.8,2.1,3.9,54.2,1.165,0.51
"Donte DiVincenzo","SG","sac",25,1,26.6,10.3,0.9,3.5,4.4,3.6,1.5,0.2,1.8,1.7,2,13.02,3.2,8.7,36.2,2.1,5.8,36.8,1.9,2.2,83.9,1,3,35.1,1.183,0.48
"Marvin Bagley III","PF","sac",30,17,21.9,9.3,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,0.8,14.33,3.8,8.2,46.3,0.5,2.1,24.2,1.2,1.6,74.5,3.3,6.1,53.8,1.13,0.49
"Chimezie Metu","PF","sac",60,20,21.3,8.9,0.6,5,5.6,1,0.9,0.5,1,1.6,1,13.4,3.4,7.5,45.2,1,3.1,30.6,1.2,1.5,78,2.4,4.4,55.5,1.189,0.52
"Justin Holiday","SF","sac",25,25,25.6,8.3,0.4,1.8,2.2,1.5,0.8,0.6,0.8,2,1.8,7.93,2.8,8.2,34.8,2,5.8,34.2,0.6,0.8,76.2,0.8,2.3,36.2,1.02,0.47
"Damian Jones","C","sac",56,15,18.2,8.1,1.3,3.1,4.4,1.2,0.5,0.8,1.1,2.3,1.2,18.35,3.1,4.8,65.8,0.2,0.5,34.5,1.7,2.3,71.8,2.9,4.2,69.6,1.707,0.68
"Jeremy Lamb","SG","sac",17,0,18.9,7.9,0.6,2.9,3.5,1.8,0.5,0.5,0.8,0.9,2.3,13.14,2.8,7,40.3,0.9,3.1,30.2,1.3,1.5,84.6,1.9,3.9,48.5,1.126,0.47
"Tristan Thompson","C","sac",30,3,15.2,6.2,2.4,3,5.4,0.6,0.4,0.4,1,1.7,0.6,15.1,2.5,5,50.3,0,0,100,1.1,2,53.3,2.5,5,50,1.225,0.51
"Alex Len","C","sac",39,10,15.9,6,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,1,13.16,2.4,4.5,53.4,0.2,0.5,28.6,1.1,1.6,65.1,2.3,4,56.8,1.335,0.55
"Maurice Harkless","SF","sac",47,24,18.4,4.6,0.3,2.1,2.4,0.5,0.6,0.5,0.7,1.6,0.7,7.69,1.8,3.9,45.9,0.7,2.1,30.7,0.4,0.6,71.4,1.1,1.7,65,1.199,0.54
"Louis King","PF","sac",10,0,10.4,4.5,0,1.2,1.2,0.9,0.2,0.1,0,1.4,Inf,8.19,1.5,4.7,31.9,0.8,2.7,29.6,0.7,1,70,0.7,2,35,0.957,0.4
"Josh Jackson","SG","sac",12,0,10.3,4.3,0.3,1.2,1.5,0.4,0.4,0.3,0.8,1.4,0.6,7.09,1.4,4.1,34.7,0.3,1.4,17.6,1.3,1.8,71.4,1.2,2.7,43.8,1.061,0.38
