Date,Away,Home,Location,Away_Score,Home_Score
2021-03-11,Lynchburg,TCU,"Fort Worth, Texas",1,7
2021-03-11,Baylor,TCU,"Forth Worth, Texas",7,12
2021-03-11,UC Davis,Fresno State,"Fresno, Calif.",9,10
2021-03-12,Delaware State,UT Martin,"Martin, Tenn.",6,13
2021-03-12,Lynchburg,SMU,"Dallas, Texas",3,5
2021-03-12,Delaware State,UT Martin,"Martin, Tenn.",6,13
2021-03-13,Baylor,SMU,"Dallas, Texas",8,12
2021-03-13,South Carolina,Auburn,"Auburn, Ala. (Conf.)",5,13
2021-03-13,TCU,Oklahoma State,"Stillwater, Okla.",14,5
2021-03-13,Fresno State,UC Davis,"Davis, Calif.",8,8
2021-03-14,Oklahoma State,Baylor,"Waco, Texas",11,8
2021-03-19,Wilson College,Sweet Briar College,"Sweet Briar, Va.",2,6
2021-03-20,Delaware State,Sweet Briar College,"Sweet Briar, Va.",2,7
2021-03-20,Wilson College,Delaware State,"Sweet Briar, Va.",1,6
2021-03-25,UC Davis,Delaware State,"Martin, Tenn.",7,9
2021-03-26,Texas A&M,Georgia,"Bishop, Ga.",10,10
2021-03-26,Delaware State,SMU,"Martin, Tenn.",5,9
2021-03-26,South Dakota State,UT Martin,"Martin, Tenn.",2,14
2021-03-26,Oklahoma State,Baylor,"Waco, Texas",12,8
2021-03-26,TCU,Fresno State,"Waco, Texas",15,4
2021-03-26,Auburn,South Carolina,"Bishop, Ga.",13,6
2021-03-27,Texas A&M,South Carolina,"Bishop, Ga.",11,9
2021-03-27,Fresno State,Baylor,"Waco, Texas",7,13
2021-03-27,TCU,Oklahoma State,"Waco, Texas",9,11
2021-03-27,SMU,UT Martin,"Martin, Tenn.",11,4
2021-03-27,Auburn,Georgia,"Bishop, Ga.",15,5
2021-04-15,Auburn,Baylor,"Waco, Texas",7,8
2021-04-15,Oklahoma State,Fresno State,"Waco, Texas",10,6
2021-04-15,SMU,Texas A&M,"Waco, Texas",7,7
2021-04-15,Georgia,TCU,"Waco, Texas",10,6
2021-04-16,Georgia,Oklahoma State,"Waco, Texas",10,6
2021-04-16,Baylor,SMU,"Waco, Texas",6,8
2021-04-17,SMU,Georgia,"Waco, Texas",7,9
2021-04-17,Lynchburg,Sweet Briar College,"Waco, Texas",2,6
2021-09-18,Lynchburg,SUNY New Paltz,"New Paltz, N.Y. (Conf.)",6,4
2021-09-24,Baylor,UT Martin,"Martin, Tenn.",13,6
2021-09-24,SUNY New Paltz,Delaware State,"Felton, Del. (Conf.)",5,3
2021-09-25,SUNY New Paltz,Sacred Heart,"Dover, DE (Conf.)",3,5
2021-09-25,Texas A&M,South Dakota State,"Brookings, S.D.",11,8
2021-09-25,Sacred Heart,Delaware State,"Felton, Del. (Conf.)",2,6
2021-09-26,Bridgewater College,Lynchburg,"Lynchburg, Va. (Conf.)",3,5
2021-09-30,South Carolina,UC Davis,"Davis, Calif.",6,11
2021-10-01,UT Martin,Delaware State,"Felton, Del. (Conf.)",7,13
2021-10-01,South Carolina,Fresno State,"Fresno, Calif.",9,10
2021-10-01,TCU,South Carolina,"Fresno, CA",8,7
2021-10-02,SMU,UT Martin,"Dover, Del. (Conf.)",6,9
2021-10-02,SMU,Delaware State,"Dover, Del. (Conf.)",7,13
2021-10-02,TCU,Fresno State,"Fresno, Calif. (Conf.)",9,10
2021-10-02,South Carolina,TCU,"Fresno, Calif.",7,8
2021-10-02,SMU,Delaware State,"Felton, Del. (Conf.)",8,7
2021-10-03,TCU,UC Davis,"Davis, Calif.",11,9
2021-10-08,SMU,TCU,"Fort Worth, Texas",11,9
2021-10-08,Oklahoma State,Baylor,"Waco, Texas (Conf.)",10,9
2021-10-08,Georgia,Auburn,"Auburn, Ala. (Conf.)",7,13
2021-10-15,UT Martin,South Dakota State,"Brookings, SD (Conf.)",10,8
2021-10-15,Texas A&M,Baylor,"Waco, Texas",7,12
2021-10-15,Auburn,Oklahoma State,"Stillwater, Okla.",9,10
2021-10-16,Auburn,SMU,"Dallas, Texas",11,7
2021-10-22,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",10,8
2021-10-22,Fresno State,Georgia,"Athens, Ga.",3,16
2021-10-22,Lynchburg,Auburn,"Auburn, Ala.",1,9
2021-10-23,Lynchburg,Fresno State,"Auburn, Ala.",4,4
2021-10-23,Fresno State,Auburn,"Auburn, Ala.",5,13
2021-10-23,TCU,Oklahoma State,"Stillwater, Okla. (Conf.)",6,12
2021-10-28,TCU,South Dakota State,"Brookings, S.D.",7,7
2021-10-28,Lynchburg,Delaware State,"Felton, Del. (Conf.)",4,4
2021-10-28,Minnesota-Crookston,South Dakota State,"Brookings, S.D. (Conf.)",1,15
2021-10-29,Minnesota-Crookston,TCU,"Brookings, S.D.",1,15
2021-10-29,Lynchburg,Sweet Briar College,"Felton, Del. (Conf.)",3,5
2021-10-29,Sweet Briar College,Delaware State,"Felton, Del. (Conf.)",2,6
2021-10-29,Georgia,Texas A&M,"Bryan-College Station, Texas (Conf.)",6,13
2021-10-29,South Carolina,Auburn,"Auburn, Ala. (Conf.)",8,11
2021-10-30,Georgia,SMU,"Dallas, Texas",11,9
2021-11-04,SMU,UC Davis,"Davis, Calif. (Conf.)",14,6
2021-11-05,Baylor,TCU,"Fort Worth, Texas (Conf.)",14,6
2021-11-05,Oklahoma State,Fresno State,"Fresno, Calif. (Conf.)",10,9
2021-11-05,Oklahoma State,SMU,"Fresno, Calif.",5,10
2021-11-06,SMU,Fresno State,"Fresno, Calif.",7,11
2021-11-06,SMU,Oklahoma State,"Fresno, Calif.",10,5
2021-11-12,Texas A&M,UT Martin,"Martin, Tenn.",12,8
2021-11-12,Bridgewater College,Sweet Briar College,"Sweet Briar, Va. (Conf.)",0,6
2021-11-13,Sacred Heart,Bridgewater College,"Sweet Briar, Va. (Conf.)",8,0
2021-11-13,Sacred Heart,Sweet Briar College,"Sweet Briar, Va. (Conf.)",2,5
2021-11-13,Lynchburg,UT Martin,"Martin, Tenn. (Conf.)",2,8
2021-11-13,Lynchburg,Texas A&M,"Martin, Tenn.",2,8
2021-11-13,South Carolina,Georgia,"Athens, Ga. (Conf.)",4,14
2021-11-18,Auburn,Texas A&M,"Bryan-College Station, Texas (Conf.)",6,10
2021-11-19,Fresno State,SMU,"Dallas, Texas",2,17
2021-11-19,Auburn,Baylor,"Waco, Texas",13,7
2021-11-19,UC Davis,Delaware State,"Felton, Del. (Conf.)",8,11
2021-11-19,UC Davis,South Dakota State,"Dover, Del. (Conf.)",13,6
2021-11-20,South Dakota State,Delaware State,"Dover, Del. (Conf.)",8,11
2021-11-20,Fresno State,Baylor,"Waco, Texas (Conf.)",7,11
2021-11-20,South Dakota State,Delaware State,"Felton, Del.",5,12
2021-11-21,South Dakota State,Sweet Briar College,"Sweet Briar, Va. (Conf.)",3,6
2020-01-30,Delaware State,TCU,"Fort Worth, Texas",2,15
2020-01-31,Sweet Briar College,South Carolina,"Blythewood, S.C.",2,7
2020-01-31,Auburn,UC Davis,"Davis, Calif.",13,7
2020-01-31,Sweet Briar College,South Dakota State,"Blythewood, S.C.",4,3
2020-02-01,Georgia,Texas A&M,"College Station, Texas (Conf.)",9,9
2020-02-01,South Dakota State,South Carolina,"Blythewood, S.C.",5,15
2020-02-01,Auburn,Fresno State,"Fresno, Calif.",10,8
2020-02-07,Baylor,TCU,"Springtown, Texas (Conf.)",8,12
2020-02-07,UT Martin,Fresno State,"Fresno, Calif.",4,14
2020-02-07,UT Martin,UC Davis,"Fresno, Calif.",7,9
2020-02-08,Texas A&M,South Carolina,"Blythewood, S.C. (Conf.)",10,10
2020-02-08,UC Davis,Fresno State,"Fresno, Calif.",5,14
2020-02-08,Auburn,Georgia,"Athens, Ga. (Conf.)",12,8
2020-02-08,Oklahoma State,SMU,"Dallas, Texas",5,13
2020-02-15,Texas A&M,SMU,"Dallas, Texas",7,12
2020-02-15,TCU,Oklahoma State,"Stillwater, Okla. (Conf.)",5,14
2020-02-15,Baylor,Auburn,"Auburn, Ala.",4,15
2020-02-20,SMU,UT Martin,"Martin, Tenn.",11,7
2020-02-21,Fresno State,TCU,"Fort Worth, Texas (Conf.)",10,9
2020-02-21,SUNY New Paltz,UT Martin,"Martin, Tenn. (Conf.)",1,9
2020-02-21,SUNY New Paltz,SMU,"Martin, Tenn.",1,8
2020-02-22,UC Davis,South Dakota State,"Brookings, S.D. (Conf.)",10,9
2020-02-22,Texas A&M,Oklahoma State,"Stillwater, Okla.",7,10
2020-02-22,Fresno State,Baylor,"Waco, Texas (Conf.)",8,11
2020-02-22,Georgia,South Carolina,"Blythewood, S.C. (Conf.)",5,14
2020-02-28,Baylor,Texas A&M,"College Station, Texas",8,10
2020-02-28,Delaware State,Georgia,"Bishop, Ga.",4,15
2020-02-28,Baylor,South Dakota State,"College Station, Texas",13,3
2020-02-29,UT Martin,Georgia,"Bishop, Ga.",2,17
2020-02-29,TCU,SMU,"Dallas, Texas",1,17
2020-02-29,South Carolina,Auburn,"Auburn, Ala. (Conf.)",5,13
2020-02-29,South Dakota State,Texas A&M,"College Station, Texas",5,13
2020-02-29,Delaware State,UT Martin,"Bishop, Ga.",8,7
2020-03-06,South Carolina,Delaware State,"Felton, Del.",14,5
2020-03-06,SMU,Fresno State,"Fresno, Calif.",8,11
2020-03-06,SUNY New Paltz,Sweet Briar College,"Sweet Briar, Va.",5,5
2020-03-07,Georgia,TCU,"Fort Worth, Texas",9,10
2020-03-07,Texas A&M,Auburn,"Auburn, Ala.",9,10
2020-03-07,Oklahoma State,Baylor,"Waco, Texas (Conf.)",10,8
2020-03-07,Lynchburg,UC Davis,"Davis, Calif.",4,4
2020-03-07,Lynchburg,Fresno State,"Fresno, Calif.",1,7
2020-10-16,Auburn,South Carolina,"Blythewood, S.C. (Conf.)",14,5
2020-10-23,Auburn,Georgia,"Athens, Ga. (Conf.)",10,8
2020-10-29,Texas A&M,Georgia,"Bishop, Ga. (Conf.)",9,10
2020-10-30,Texas A&M,Auburn,"Auburn, Ala. (Conf.)",5,15
2020-11-05,South Carolina,Texas A&M,"Bryan-College Station, Texas (Conf.)",7,13
2020-11-13,Georgia,South Carolina,"Blythewood, S.C. (Conf.)",8,11
2019-01-24,Georgia,UT Martin,"Martin, Tenn.",9,11
2019-01-26,Texas A&M,South Dakota State,"Brookings, S.D.",14,5
2019-01-31,Delaware State,UC Davis,UC Davis Equestrian Center (Conf.),5,10
2019-01-31,West Texas A&M,TCU,"11 a.m.-Springtown, Texas <br> 6 p.m.-Fort Worth, Texas (John Justin Arena)",1,15
2019-01-31,West Texas A&M,TCU,"Fort Worth, TX",1,15
2019-02-01,Delaware State,Fresno State,"Fresno, CA",5,13
2019-02-01,Auburn,Delaware State,"Fresno, Calif.",15,1
2019-02-02,Auburn,Fresno State,"Fresno, CA",16,3
2019-02-02,Delaware State,Auburn,"Fresno, CA",1,15
2019-02-02,Ohio State,South Carolina,"Blythewood, S.C.",2,6
2019-02-02,Liberty,South Carolina,"Blythewood, S.C.",3,6
2019-02-02,SMU,Texas A&M,College Station,9,11
2019-02-02,Fresno State,Delaware State,"Fresno, CA",13,5
2019-02-08,UT Martin,Auburn,"Auburn, Ala.",0,17
2019-02-08,UT Martin,South Dakota State,"Auburn, Ala.",10,5
2019-02-08,TCU,Sweet Briar College,"Sweet Briar, Va.",8,2
2019-02-08,South Dakota State,UT Martin,"Auburn, AL (Conf.)",5,10
2019-02-08,TCU,Lynchburg,"Sweet Briar, Va.",7,1
2019-02-08,UT Martin,Auburn,"Auburn, Ala.",0,17
2019-02-09,Oklahoma State,Baylor,"Waco, Texas (Conf.)",8,11
2019-02-09,TCU,South Carolina,"Blythewood, S.C.",5,13
2019-02-09,South Dakota State,Auburn,"Auburn, Ala.",0,20
2019-02-09,Texas A&M,Georgia,"Athens, GA (Conf.)",8,12
2019-02-10,Mississippi State,UT Martin,"Martin, Tenn.",2,14
2019-02-15,Texas A&M,Sweet Briar College,"Sweet Briar, Va.",5,5
2019-02-15,TCU,South Dakota State,"Brookings, S.D.",13,6
2019-02-16,Minnesota-Crookston,TCU,"Brookings, SD",14,2
2019-02-16,TCU,Minnesota-Crookston,"Brookings, S.D.",14,2
2019-02-16,SMU,Oklahoma State,"Stillwater, OK",7,13
2019-02-16,Auburn,South Carolina,"Blythewood, S.C. (Conf.)",14,6
2019-02-16,UC Davis,Texas A&M,College Station,2,14
2019-02-21,UC Davis,TCU,"Springtown, Texas",4,12
2019-02-22,UC Davis,SMU,"Dallas, Texas (Conf.)",3,13
2019-02-23,Georgia,Baylor,"Waco, Texas",8,11
2019-02-23,TCU,Oklahoma State,"Stillwater, OK (Conf.)",8,12
2019-02-23,South Carolina,Texas A&M,College Station (Conf.),6,13
2019-03-01,Auburn,Texas A&M,College Station (Conf.),12,8
2019-03-01,Delaware State,Oklahoma State,"Felton, DE",5,10
2019-03-02,Fresno State,UC Davis,UC Davis Equestrian Center (Conf.),12,4
2019-03-02,Auburn,SMU,"Dallas, Texas",10,8
2019-03-02,South Dakota State,Delaware State,"Dover, DE (Conf.)",9,10
2019-03-02,South Dakota State,Oklahoma State,"Dover, DE",5,11
2019-03-02,Baylor,TCU,"Springtown, Texas (Conf.)",11,7
2019-03-02,South Carolina,Georgia,"Athens, GA (Conf.)",7,13
2019-03-08,Delaware State,South Carolina,"Blythewood, S.C.",4,15
2019-03-08,Delaware State,South Carolina,"Blythewood, SC",5,14
2019-03-08,Georgia,Auburn,"Auburn, Ala. (Conf.)",3,17
2019-03-09,Fresno State,Oklahoma State,"Stillwater, OK",5,14
2019-03-09,Texas A&M,Baylor,"Waco, Texas",11,9
2019-03-09,Fresno State,Oklahoma State,"Stillwater, OK",5,14
2019-03-09,SMU,TCU,"Springtown, Texas",7,13
2019-03-14,Miami (Ohio),UT Martin,"Martin, Tenn.",3,15
2019-03-21,South Dakota State,UT Martin,"Martin, TN (Conf.) United Equestrian Conference Tournament",7,9
2019-03-22,Fresno State,Delaware State,"Martin, TN (Conf.) United Equestrian Conference Tournament",9,7
2019-03-22,SMU,UT Martin,"Martin, Tenn. (Conf.) United Equestrian Conference Tournament",12,4
2019-03-23,Fresno State,SMU,"Martin, TN United Equestrian Conference Tournament",2,14
2019-03-23,Fresno State,SMU,"Martin, Tenn. (Conf.) United Equestrian Conference Tournament",2,14
2019-03-29,TCU,Baylor,"Stillwater, Okla. Big 12 Championship",8,11
2019-03-29,TCU,Oklahoma State,"Stillwater, Okla. Big 12 Championship",7,13
2019-03-29,Georgia,Texas A&M,College Station SEC Championship,8,12
2019-03-29,South Carolina,Auburn,"College Station, Texas (Conf.) SEC Championship",7,13
2019-03-30,Baylor,Oklahoma State,"Stillwater, Okla. SEC Championship",10,10
2019-03-30,UC Davis,Fresno State,"Fresno, CA (Conf.) United Equestrian Conference Tournament",3,16
2019-03-30,Georgia,South Carolina,"College Station, Texas SEC Championship",11,8
2019-03-30,Texas A&M,Auburn,"College Station, Texas (Conf.) SEC Championship",6,11
2019-04-17,Auburn,Fresno State,"Waco, TX (Conf.) NCEA Championship",3,1
2019-04-17,Oklahoma State,Baylor,"Waco, Texas NCEA Championship",3,0
2019-04-17,Baylor,South Dakota State,"Waco, Texas",3,1
2019-04-17,SMU,UC Davis,"Waco, Tex. (Extraco Events Center) NCEA Championship",4,0
2019-04-17,Texas A&M,UC Davis,"Waco, Tex. (Extraco Events Center) NCEA Championship",3,1
2019-04-17,Texas A&M,UC Davis,"Waco, Tex. (Extraco Events Center) NCEA Championship",3,1
2019-04-17,Texas A&M,UC Davis,"Waco, Tex. (Extraco Events Center) NCEA Championship",3,1
2019-04-17,SMU,UT Martin,"Waco, Texas NCEA Championship",3,1
2019-04-17,Delaware State,UT Martin,"Waco, Texas NCEA Championship",3,1
2019-04-17,South Carolina,TCU,"Waco, Texas NCEA Championship",4,0
2019-04-17,Fresno State,South Carolina,"Waco, Texas NCEA Championship",0,4
2019-04-17,TCU,UT Martin,"Waco, Texas NCEA Championship",2,2
2019-04-17,Georgia,UT Martin,"Waco, Texas NCEA Championship",3,1
2019-04-17,Delaware State,TCU,"Waco, Texas NCEA Championship",1,3
2019-04-17,Fresno State,South Carolina,"Waco, Texas NCEA Championship",1,3
2019-04-17,Fresno State,South Carolina,"Waco, Texas NCEA Championship",1,3
2019-04-18,Baylor,Georgia,"Waco, Texas NCEA Championship",6,10
2019-04-18,Oklahoma State,Auburn,"Waco, Texas (Conf.) NCEA Championship",5,11
2019-04-18,TCU,Auburn,"Waco, Texas (Conf.) NCEA Championship",4,12
2019-04-18,Oklahoma State,SMU,"Extraco Events Center / WACO, TX NCEA Championship",8,6
2019-04-18,South Carolina,Texas A&M,"Waco, Texas NCEA Championship",6,10
2019-04-18,Texas A&M,Georgia,"Waco, Texas NCEA Championship",7,8
2019-04-19,Baylor,South Carolina,"Waco, Texas NCEA Championship",0,4
2019-04-19,Baylor,South Carolina,"Waco, Texas NCEA Championship",2,2
2019-04-19,Oklahoma State,Baylor,"Waco, Texas NCEA Championship",2,2
2019-04-19,Baylor,TCU,"Waco, Texas NCEA Championship",2,2
2019-04-19,SMU,Texas A&M,"Waco, Texas NCEA Championship",2,2
2019-04-19,Georgia,TCU,"Waco, Texas NCEA Championship",3,1
2019-04-19,Texas A&M,South Carolina,"Waco, Texas NCEA Championship",3,0
2019-04-19,Auburn,Texas A&M,"Waco, Texas (Conf.) NCEA Championship",4,0
2019-04-19,Auburn,UT Martin,"Waco, Texas (Conf.) NCEA Championship",4,0
2019-04-19,Oklahoma State,Texas A&M,"Waco, Texas NCEA Championship",1,3
2019-04-19,SMU,South Carolina,"Waco, Texas (Conf.) NCEA Championship",2,2
2019-04-19,Texas A&M,TCU,"Waco, Texas NCEA Championship",2,2
2019-04-19,SMU,South Carolina,"Waco, Texas NCEA Championship",2,2
2019-04-19,Texas A&M,South Carolina,"Waco, Texas NCEA Championship",1,3
2019-04-19,Georgia,South Carolina,"Waco, Texas NCEA Championship",4,0
2019-04-20,Auburn,Georgia,"Waco, Texas (Conf.)",8,7
2019-04-20,TCU,Georgia,"Waco, Texas NCEA Championship",2,2
2019-04-20,South Carolina,Auburn,"Waco, Texas (Conf.) NCEA Championship",0,4
2019-09-19,Auburn,UT Martin,"Martin, Tenn.",17,1
2019-09-19,Oklahoma State,UT Martin,"Martin, Tenn.",14,4
2019-09-20,Texas Tech,TCU,"Fort Worth, Texas",0,20
2019-09-20,Fresno State,South Carolina,"Columbia, S.C.",8,11
2019-09-20,Auburn,Oklahoma State,"Martin, Tenn.",12,8
2019-09-21,Fresno State,Sweet Briar College,"Sweet Briar, Va.",6,4
2019-09-21,Fresno State,Lynchburg,"Lynchburg, Va.",6,2
2019-09-26,South Dakota State,TCU,"Fort Worth, Texas",3,17
2019-09-27,Baylor,SMU,"Dallas, Texas",5,14
2019-09-27,Sweet Briar College,Georgia,"Bishop, Ga.",2,8
2019-09-27,South Dakota State,Oklahoma State,"Stillwater, Okla.",7,13
2019-09-28,SUNY New Paltz,Delaware State,"Felton, Del. (Conf.)",2,9
2019-10-04,SUNY New Paltz,Sweet Briar College,"Sweet Briar, Va.",3,7
2019-10-04,Delaware State,Baylor,"Waco, Texas",3,12
2019-10-04,TCU,Fresno State,"Fresno, Calif. (Conf.)",12,7
2019-10-04,SUNY New Paltz,Lynchburg,"Lynchburg, Va.",6,1
2019-10-04,UC Davis,Baylor,"Waco, Texas",2,14
2019-10-04,TCU,Texas A&M,"Fresno, Calif.",4,11
2019-10-04,UT Martin,Miami (Ohio),"Oxford, Ohio",13,11
2019-10-05,South Carolina,Georgia,"Bishop, Ga. (Conf.)",5,14
2019-10-05,Texas A&M,Fresno State,"Fresno, Calif.",9,11
2019-10-05,Delaware State,UC Davis,"Waco, Tex. (Conf.)",8,8
2019-10-10,South Dakota State,UT Martin,"Martin, Tenn.",8,9
2019-10-10,SMU,TCU,"Fort Worth, Texas",9,11
2019-10-11,Delaware State,UT Martin,"Martin, Tenn.",9,11
2019-10-11,South Dakota State,Delaware State,"Martin, Tenn.",7,13
2019-10-18,TCU,Sweet Briar College,"Auburn, Ala.",5,3
2019-10-18,SUNY New Paltz,Auburn,"Auburn, Ala.",1,7
2019-10-18,Baylor,Oklahoma State,"Stillwater, Okla. (Conf.)",5,11
2019-10-18,Sweet Briar College,Auburn,"Auburn, Ala.",2,6
2019-10-18,SUNY New Paltz,TCU,"Auburn, Ala.",1,7
2019-10-19,SUNY New Paltz,Sweet Briar College,"Auburn, Ala.",3,5
2019-10-19,TCU,Auburn,"Auburn, Ala.",4,15
2019-10-25,Sweet Briar College,Delaware State,"Felton, Del.",4,4
2019-10-25,Lynchburg,Delaware State,"Felton, Del.",0,8
2019-10-25,Texas A&M,Georgia,"Bishop, Ga.",10,8
2019-10-25,Auburn,South Carolina,"Columbia, S.C. (Conf.)",14,6
2019-10-25,Oklahoma State,Fresno State,"Fresno, Calif. (Conf.)",5,14
2019-10-26,SMU,Georgia,"Bishop, Ga.",8,10
2019-10-26,Oklahoma State,UC Davis,"Davis, Calif.",13,5
2019-11-01,South Carolina,Texas A&M,"College Station, Texas",10,9
2019-11-01,TCU,Baylor,"Waco, Texas (Conf.)",6,14
2019-11-01,Ole Miss,Auburn,"Auburn, Ala.",1,9
2019-11-02,Minnesota-Crookston,South Dakota State,"Brookings, S.D.",2,16
2019-11-08,Oklahoma State,TCU,"Forth Worth, Texas (Conf.)",10,9
2019-11-08,Auburn,SMU,"Dallas, Texas",12,6
2019-11-08,Baylor,Fresno State,"Fresno, Calif. (Conf.)",7,12
2019-11-08,Georgia,Baylor,"Fresno, Calif.",10,6
2019-11-09,Auburn,Texas A&M,"College Station, Texas",11,9
2019-11-09,Georgia,Fresno State,"Fresno, Calif.",10,9
2019-11-15,UT Martin,South Carolina,"Columbia, S.C.",4,15
2019-11-15,Georgia,Auburn,"Auburn, Ala. (Conf.)",4,16
2019-11-15,Fresno State,UC Davis,"Davis, Calif.",12,7
2019-11-22,South Carolina,SMU,"Dallas, Texas",9,11
